Date : 2026-07-16 11:22:39
Directory : d:\spring_projects\anveshak\backend
Total : 296 files,  10973 codes, 134 comments, 1609 blanks, all 12716 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdateCollectionRequest.java                    | Java            |          3 |          0 |          2 |          5 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdatePaperRequest.java                         | Java            |          8 |          0 |          2 |         10 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UpdateProfileRequest.java                       | Java            |          6 |          0 |          2 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserIdentityResponse.java                       | Java            |          9 |          0 |          3 |         12 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserProfileResponse.java                        | Java            |         13 |          0 |          3 |         16 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\DTOs\UserSessionResponse.java                        | Java            |         11 |          0 |          3 |         14 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ChatSessionNotFoundException.java          | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\CitationNotFoundException.java             | Java            |          7 |          0 |          3 |         10 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmailAlreadyExistsException.java           | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmailNotVerifiedException.java             | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\EmbeddingServiceException.java             | Java            |          6 |          0 |          2 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\FailedToCreatePaperChunks.java             | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\FailedToCreatePaperSummary.java            | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\GoogleIdTokenNotValidException.java        | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\InvalidCredentialsException.java           | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\RefreshTokenNotFoundException.java         | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchCollectionNotFoundException.java   | Java            |          7 |          0 |          3 |         10 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchPaperNotFoundException.java        | Java            |          7 |          0 |          3 |         10 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\ResearchSummaryNotFoundException.java      | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserIdentityAlreadyExistsException.java    | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserNameAlreadyExistsException.java        | Java            |          6 |          0 |          2 |          8 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Exception\UserNotFoundException.java                 | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\Helper\HashUtil.java                                 | Java            |         21 |          0 |          4 |         25 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\client\EmbeddingServiceClient.java                   | Java            |         55 |          8 |         14 |         77 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GeminiConfig.java                             | Java            |         17 |          0 |          6 |         23 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GlobalExceptionHandler.java                   | Java            |         79 |          0 |         19 |         98 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\GoogleProperties.java                         | Java            |          6 |          0 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\JwtConfiguration.java                         | Java            |         62 |          1 |         11 |         74 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\config\SecurityConfiguration.java                    | Java            |         66 |          0 |         10 |         76 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\AuthController.java                       | Java            |        115 |          0 |         21 |        136 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\CitationController.java                   | Java            |         52 |          0 |          9 |         61 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\CollectionsController.java                | Java            |        102 |          0 |         14 |        116 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\HarvestController.java                    | Java            |         17 |          0 |          6 |         23 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\HealthController.java                     | Java            |         16 |          0 |          6 |         22 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\PaperChatController.java                  | Java            |         70 |          0 |         11 |         81 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\PapersController.java                     | Java            |        147 |          0 |         20 |        167 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\RestExceptionHandler.java                 | Java            |         22 |          0 |          7 |         29 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\controller\UserController.java                       | Java            |        132 |          0 |         19 |        151 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthProviders.java                             | Java            |          7 |          0 |          2 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthToken.java                                 | Java            |         43 |          0 |         12 |         55 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\AuthTokenTypes.java                            | Java            |          9 |          1 |          3 |         13 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\Author.java                                    | Java            |         33 |          0 |          6 |         39 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ChatMessage.java                               | Java            |         45 |          0 |          9 |         54 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ChatSession.java                               | Java            |         49 |          0 |          9 |         58 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\GlobalPaper.java                               | Java            |         61 |          0 |         19 |         80 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\Keyword.java                                   | Java            |         33 |          0 |          6 |         39 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ModelRole.java                                 | Java            |          8 |          1 |          3 |         12 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperChunk.java                                | Java            |         57 |          0 |         12 |         69 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperCitation.java                             | Java            |         40 |          0 |          9 |         49 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\PaperSummary.java                              | Java            |         47 |          0 |         11 |         58 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\RefreshToken.java                              | Java            |         61 |          0 |         13 |         74 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ResearchCollection.java                        | Java            |         51 |          0 |          9 |         60 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\ResearchPaper.java                             | Java            |         73 |          0 |         17 |         90 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\User.java                                      | Java            |         75 |          0 |         17 |         92 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\model\UserIdentity.java                              | Java            |         50 |          0 |         13 |         63 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\AuthTokenRepository.java                  | Java            |         10 |          0 |          8 |         18 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\AuthorRepository.java                     | Java            |         10 |          0 |          6 |         16 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ChatMessageRepository.java                | Java            |         11 |          0 |          9 |         20 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ChatSessionRepository.java                | Java            |          9 |          0 |          7 |         16 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\CitiationRepository.java                  | Java            |         13 |          0 |          8 |         21 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\GlobalPaperRepository.java                | Java            |         20 |          0 |          5 |         25 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\KeywordRepository.java                    | Java            |         10 |          0 |          6 |         16 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\PaperChunkRepository.java                 | Java            |         23 |          0 |          6 |         29 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\PaperSummaryRepository.java               | Java            |          6 |          0 |          6 |         12 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\RefreshTokenRepository.java               | Java            |         16 |          0 |         13 |         29 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ResearchCollectionRepository.java         | Java            |         13 |          0 |          7 |         20 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\ResearchPaperRepository.java              | Java            |         28 |          0 |          9 |         37 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\UserIdentityRepository.java               | Java            |         16 |          0 |         12 |         28 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\repository\UserRepository.java                       | Java            |         14 |          0 |         10 |         24 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthMailService.java                         | Java            |         72 |          0 |         25 |         97 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthService.java                             | Java            |        139 |          1 |         38 |        178 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\AuthTokenService.java                        | Java            |         97 |          0 |         29 |        126 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\CitationService.java                         | Java            |        102 |          0 |         24 |        126 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\CurrentUserResolver.java                     | Java            |         29 |          0 |         11 |         40 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\EmailSenderService.java                      | Java            |         34 |          1 |          7 |         42 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\FileStorageService.java                      | Java            |          9 |          0 |          7 |         16 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GeminiService.java                           | Java            |        105 |          0 |         20 |        125 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GlobalPaperService.java                      | Java            |        149 |          0 |         34 |        183 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\GoogleTokenVerifier.java                     | Java            |         29 |          0 |         11 |         40 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\JwtService.java                              | Java            |         51 |          0 |         15 |         66 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperChatService.java                        | Java            |        101 |          2 |         22 |        125 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperChunkService.java                       | Java            |         68 |          6 |         17 |         91 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperComparisonService.java                  | Java            |         38 |          0 |         15 |         53 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PaperSummaryService.java                     | Java            |        116 |          1 |         34 |        151 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PdfService.java                              | Java            |         42 |          0 |         16 |         58 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\PromptService.java                           | Java            |        137 |          0 |         38 |        175 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\RefreshTokenService.java                     | Java            |        114 |          1 |         30 |        145 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchCollectionService.java               | Java            |        124 |          0 |         31 |        155 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchPaperService.java                    | Java            |        324 |          0 |         81 |        405 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\ResearchSummaryService.java                  | Java            |          3 |          3 |          3 |          9 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\SupabaseFileStoreService.java                | Java            |         76 |          0 |         28 |        104 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\UserIdentityService.java                     | Java            |        158 |          0 |         46 |        204 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\UserService.java                             | Java            |        155 |         44 |         41 |        240 |
| d:\spring_projects\anveshak\backend\src\main\java\com\anveshak\service\XMLParser.java                               | Java            |         66 |          0 |         27 |         93 |
| d:\spring_projects\anveshak\backend\src\main\resources\META-INF\additional-spring-configuration-metadata.json       | JSON            |          5 |          0 |          0 |          5 |
| d:\spring_projects\anveshak\backend\src\main\resources\application.yml                                              | YAML            |         58 |          0 |          8 |         66 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V1__create_user.sql                             | MS SQL          |         11 |          0 |          1 |         12 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V2__create_refresh_token.sql                    | MS SQL          |         21 |          0 |          2 |         23 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V3__create_auth_token.sql                       | MS SQL          |          9 |          0 |          1 |         10 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V4__research_papers.sql                         | MS SQL          |         53 |          0 |         11 |         64 |
| d:\spring_projects\anveshak\backend\src\main\resources\db\migration\V5__create_paper_chunk.sql                      | MS SQL          |         33 |          0 |          5 |         38 |
